prediction_index,reference_index,overlap_area_m2,relation
289,852,883377.0479272282,部分重叠
289,600,22015.22476494867,部分重叠
290,501,18650.860639073937,部分重叠
290,865,532412.0996490864,预测包含真实
291,686,2352266.0716009005,部分重叠
292,856,128660.78296482818,部分重叠
292,858,320221.73749688396,部分重叠
292,857,326251.14494935574,预测包含真实
293,850,495619.16831629263,部分重叠
293,851,384321.32534577645,预测包含真实
294,440,379942.6654608884,部分重叠
294,471,2865198.144274515,部分重叠
294,470,99981.97526545513,部分重叠
295,854,658672.1122046589,部分重叠
295,599,105086.65739934186,预测包含真实
295,853,250004.74709212512,预测包含真实
296,600,570728.6420394471,部分重叠
297,801,642194.1608155338,部分重叠
297,709,154861.99522427676,部分重叠
298,108,1591248.9989617113,部分重叠
299,418,501387.94961075543,部分重叠
299,290,1640185.077442461,部分重叠
300,293,153978.61217082417,部分重叠
300,564,780986.1126590117,部分重叠
301,82,1268289.2553592683,部分重叠
302,234,1413359.394458918,部分重叠
303,41,1703201.1845587594,真实包含预测
306,328,301813.9356361761,部分重叠
306,641,634225.7312864629,部分重叠
307,77,1040677.9196456918,部分重叠
308,469,236628.1212162833,部分重叠
308,795,1077260.6157917865,部分重叠
308,439,34247.873982132995,部分重叠
309,794,1415205.654216454,部分重叠
309,468,496920.3054520302,预测包含真实
310,666,2424087.2973045567,真实包含预测
311,771,1266459.3816795321,部分重叠
312,619,113830.13166577414,部分重叠
312,74,792614.4036253974,部分重叠
319,607,440259.3768939168,部分重叠
320,5,98002.85764275605,部分重叠
320,4,237206.51572374837,部分重叠
320,6,117145.11890506306,预测包含真实
320,7,99321.97778675886,预测包含真实
321,399,1397763.373407234,部分重叠
323,232,1290299.8278235155,部分重叠
326,902,83533.16837280858,部分重叠
326,903,881202.430169599,部分重叠
327,209,1202061.3598867615,部分重叠
328,465,2565732.6892437283,部分重叠
329,487,925435.9231322726,部分重叠
330,209,2496851.9633830558,部分重叠
332,209,1686064.1625397718,部分重叠
337,650,120990.40253342167,部分重叠
337,649,287547.6260007312,预测包含真实
337,648,352225.64843809063,预测包含真实
339,333,1143211.9815265525,部分重叠
339,332,139387.21743337915,部分重叠
341,69,971442.1719578106,部分重叠
343,720,982636.4988918066,部分重叠
344,257,85605.14260440735,部分重叠
344,256,1353706.4586858042,部分重叠
345,131,133840.78855950676,部分重叠
345,132,867219.9354726578,部分重叠
346,820,2238125.882319043,部分重叠
347,837,594241.6856673439,部分重叠
348,886,104223.08174752885,部分重叠
348,518,526092.7344449183,预测包含真实
348,454,276293.089409279,部分重叠
349,614,2012557.9625498818,部分重叠
349,474,165768.40989725594,部分重叠
349,615,1494754.5190514869,部分重叠
350,783,488744.49041705363,部分重叠
351,316,225062.40401483962,部分重叠
351,317,269930.22473986977,预测包含真实
352,500,678902.2535081364,预测包含真实
352,862,68146.108218103,部分重叠
353,628,1039846.1212933948,部分重叠
353,563,234174.2465277397,部分重叠
354,619,2582392.5024130796,真实包含预测
355,437,365620.1528629049,部分重叠
355,63,730420.9006815725,部分重叠
357,758,1309108.2707499282,部分重叠
358,838,446468.12004809536,预测包含真实
359,893,450913.7528569585,部分重叠
359,895,1234678.6337091422,预测包含真实
360,275,374356.06988848915,部分重叠
360,748,414891.0434667708,部分重叠
361,426,897403.6649566425,部分重叠
361,42,75716.84216896234,部分重叠
362,624,41313.96533415335,部分重叠
362,910,615618.678270282,部分重叠
363,802,671500.1449150103,预测包含真实
364,843,413653.6264642926,部分重叠
365,835,745095.7496449859,部分重叠
366,764,658617.0154456496,部分重叠
367,755,693362.6269481527,部分重叠
367,901,73576.03029128649,部分重叠
368,898,807242.8231273126,部分重叠
369,340,681366.2416703386,部分重叠
369,339,19590.555511286446,部分重叠
370,617,787610.1027391679,部分重叠
370,472,241623.33122961363,部分重叠
372,141,557067.6975790603,部分重叠
373,120,189614.61078389653,预测包含真实
374,677,845430.5537929207,部分重叠
374,676,359766.5666411935,部分重叠
374,790,18119.181977422653,部分重叠
375,664,2789712.320544931,部分重叠
376,661,1927459.448028967,部分重叠
377,85,1120536.997257838,部分重叠
378,134,458773.29450873507,部分重叠
379,634,1342877.1537365955,部分重叠
381,647,1390760.0645771842,部分重叠
382,161,1370426.9749759382,部分重叠
383,149,1330426.9266603433,部分重叠
384,590,3008322.5432009436,部分重叠
385,653,2111633.423147879,部分重叠
386,560,625143.01432649,部分重叠
387,756,874536.0880658659,部分重叠
388,397,571908.2229676107,部分重叠
391,87,1005997.5651510812,部分重叠
392,746,346631.46567707544,预测包含真实
392,336,557800.2424117234,部分重叠
393,161,1501620.2016766062,部分重叠
393,118,33395.23372170271,部分重叠
393,806,11.831625621510918,部分重叠
394,719,552480.2526799339,部分重叠
396,76,1044893.045617848,部分重叠
396,431,495008.86916909745,部分重叠
