reference_index,overlapping_prediction_count,reference_area_m2,overlap_area_m2,reference_area_recall
271,1,193049.71605244197,193049.716052442,1.0000000000000002
272,0,2599735.305672685,0.0,0.0
273,1,825581.5569444655,702962.4195290478,0.8514754400894812
274,1,1364256.2336939373,203551.9579872916,0.14920361216612718
275,5,11732287.715729726,6875268.391788934,0.5860125968928563
276,1,1794077.8079238345,839451.9080392324,0.46790161738340297
277,0,319839.2787731424,0.0,0.0
278,1,944281.5174405284,448370.70198515465,0.4748273620778492
279,1,195553.89409287513,46175.37449614527,0.23612608028257945
280,1,311239.83409453754,311239.83409453754,1.0
281,1,279655.9232513807,80188.12341184943,0.2867385123817632
282,1,3075359.63259539,1032926.667318133,0.33587182987324793
283,0,1193022.478492651,0.0,0.0
284,1,3621059.896790093,1049847.1226714705,0.289928129496591
285,0,385602.0872368512,0.0,0.0
286,1,760838.9645587394,760838.9645587393,0.9999999999999999
287,0,318860.76734058716,0.0,0.0
288,0,837716.4899413502,0.0,0.0
289,1,2109453.5704970704,1352765.11760757,0.6412869837608254
290,1,2081482.3481366578,1640185.0774424607,0.7879889439902067
291,0,2391589.895181612,0.0,0.0
