cluster_id,lat,lon,count,dwell_minutes,center_method,type,polygon,distance_to_coast,inside_china_land
1867,29.191872666666665,121.77486216666667,3,311.0333333333333,duration_weighted_stop_medoid,berth,"POLYGON((121.7744054 29.191733799999998, 121.77486216666667 29.191733799999998, 121.77486216666667 29.19210133333333, 121.7744054 29.19210133333333, 121.7744054 29.191733799999998))",1374.1312859960005,False
1868,25.989588238095237,119.47602271428572,19,31584.033333333336,duration_weighted_stop_medoid,berth,"POLYGON((119.475932 25.989496, 119.47615716666667 25.989496, 119.47615716666667 25.98967015942029, 119.475932 25.98967015942029, 119.475932 25.989496))",411.73058221847873,False
1869,21.4296015,111.29738110000001,2,720.0333333333333,duration_weighted_stop_medoid,berth,"POLYGON((111.29738110000001 21.429562166666667, 111.29739966666666 21.429562166666667, 111.29739966666666 21.4296015, 111.29738110000001 21.4296015, 111.29738110000001 21.429562166666667))",2501.942428862335,False
1870,21.30269432,110.41696456,2,2742.9333333333334,duration_weighted_stop_medoid,berth,"POLYGON((110.41696456 21.302425644444444, 110.41711157777779 21.302425644444444, 110.41711157777779 21.30269432, 110.41696456 21.30269432, 110.41696456 21.302425644444444))",1898.5687733884677,False
1875,29.92565857195572,122.29106523247233,5,18888.8,duration_weighted_stop_medoid,berth,"POLYGON((122.29103780487804 29.92564201734104, 122.29107313043478 29.92564201734104, 122.29107313043478 29.925661717391307, 122.29103780487804 29.925661717391307, 122.29103780487804 29.92564201734104))",1081.977384032266,False
1876,32.128903433121025,119.91744884713376,3,11360.3,duration_weighted_stop_medoid,berth,"POLYGON((119.917294625 32.12852408219178, 119.91758603424658 32.12852408219178, 119.91758603424658 32.129419225, 119.917294625 32.129419225, 119.917294625 32.12852408219178))",711.2817555492883,True
1877,32.18547285611511,119.59095784892087,4,10794.266666666666,duration_weighted_stop_medoid,berth,"POLYGON((119.59040295522388 32.1854479375, 119.59097306666668 32.1854479375, 119.59097306666668 32.18549011666667, 119.59040295522388 32.18549011666667, 119.59040295522388 32.1854479375))",2256.5406679831017,True
1878,31.921383666666664,120.89498853333332,2,2515.7833333333333,duration_weighted_stop_medoid,berth,"POLYGON((120.89498853333332 31.921360119047616, 120.89501788095238 31.921360119047616, 120.89501788095238 31.921383666666664, 120.89498853333332 31.921383666666664, 120.89498853333332 31.921360119047616))",1298.248020786754,False
1879,30.2449123,122.1025987,3,389.1166666666667,duration_weighted_stop_medoid,berth,"POLYGON((122.10245025 30.244719, 122.10319199999999 30.244719, 122.10319199999999 30.245216, 122.10245025 30.245216, 122.10245025 30.244719))",2893.392576384568,False
1880,30.249954600000002,122.11538399999999,2,699.0333333333333,duration_weighted_stop_medoid,berth,"POLYGON((122.11522000000001 30.249954600000002, 122.11538399999999 30.249954600000002, 122.11538399999999 30.250067166666668, 122.11522000000001 30.250067166666668, 122.11522000000001 30.249954600000002))",1666.9821975246714,False
1881,30.153277175600742,122.0651492754159,5,53702.51666666668,duration_weighted_stop_medoid,berth,"POLYGON((122.0646095 30.15305099685535, 122.06515676886792 30.15305099685535, 122.06515676886792 30.15375375577558, 122.0646095 30.15375375577558, 122.0646095 30.15305099685535))",727.6610028928991,False
1882,32.197519,119.25964629213483,7,20130.4,duration_weighted_stop_medoid,berth,"POLYGON((119.2595644556962 32.19700653333333, 119.26074703333333 32.19700653333333, 119.26074703333333 32.19759157843137, 119.2595644556962 32.19759157843137, 119.2595644556962 32.19700653333333))",38561.45457911979,True
1883,30.257075965909088,122.25223328409092,5,6409.299999999999,duration_weighted_stop_medoid,berth,"POLYGON((122.25218988235295 30.257046470588232, 122.25224461538463 30.257046470588232, 122.25224461538463 30.25710461111111, 122.25218988235295 30.25710461111111, 122.25218988235295 30.257046470588232))",3491.7689140319117,False
1884,32.1287658125,121.503732375,2,497.06666666666666,duration_weighted_stop_medoid,berth,"POLYGON((121.50345375 32.12859275, 121.503732375 32.12859275, 121.503732375 32.1287658125, 121.50345375 32.1287658125, 121.50345375 32.12859275))",2476.0463376307302,False
