prediction_index,reference_index,overlap_area_m2,relation
353,628,886979.2532278046,部分重叠
353,563,160486.9596673784,部分重叠
354,619,2101551.0562562635,真实包含预测
355,437,286685.84343435493,部分重叠
355,63,698359.30501513,部分重叠
357,758,1248558.3898919951,部分重叠
358,838,446468.12004809536,预测包含真实
359,893,400924.04074903496,部分重叠
359,895,1234678.6337091422,预测包含真实
360,275,267815.4915038479,部分重叠
360,748,409907.5231930965,部分重叠
361,426,821486.6415404873,部分重叠
361,42,25396.250237613753,部分重叠
362,910,570046.7632260895,部分重叠
363,802,671500.1449150103,预测包含真实
364,843,364069.3338380796,部分重叠
365,835,639322.4089980418,部分重叠
366,764,588975.8172505539,部分重叠
367,755,607904.7174531295,部分重叠
367,901,19296.157444957556,部分重叠
368,898,661821.1094324716,部分重叠
369,340,614672.8440825107,部分重叠
370,617,711325.4592359961,部分重叠
370,472,178092.30252569364,部分重叠
372,141,554985.8359524271,部分重叠
373,120,189614.61078389653,预测包含真实
374,677,781627.9888263157,部分重叠
374,676,308158.86626996665,部分重叠
375,664,2481718.3981075445,部分重叠
376,661,1399980.515172584,部分重叠
377,85,899591.6659077265,部分重叠
378,134,423971.9228806446,部分重叠
379,634,1087379.26254043,部分重叠
381,647,1195350.8913146006,部分重叠
382,161,1205719.8224390843,部分重叠
383,149,1072753.0007295578,真实包含预测
384,590,2238230.1593140378,部分重叠
385,653,1605979.2801087336,部分重叠
386,560,579428.1145739085,部分重叠
387,756,749933.7381191488,部分重叠
388,397,433842.076585959,部分重叠
391,87,835434.1247001792,部分重叠
392,746,346631.46567707544,预测包含真实
392,336,479807.65109348967,部分重叠
393,161,1231585.3808665287,部分重叠
394,719,520097.78088355105,部分重叠
396,76,1043804.4198091304,部分重叠
396,431,105267.35063110059,部分重叠
398,25,490787.1894038776,部分重叠
398,555,588919.9109550599,部分重叠
399,601,838613.8381887532,部分重叠
401,774,27111.735435897746,部分重叠
401,773,1204958.5377100257,部分重叠
402,276,643277.0926144839,部分重叠
403,451,56308.139239770855,部分重叠
403,829,224266.12547494727,预测包含真实
404,884,486158.4443195462,部分重叠
404,803,444232.3914462601,部分重叠
405,781,952661.9424953194,真实包含预测
407,912,619202.7041655269,部分重叠
407,913,162945.20286567547,部分重叠
408,759,3556955.9728955636,部分重叠
409,874,603759.5749752156,部分重叠
409,508,290843.6658720473,预测包含真实
410,911,604952.236813699,部分重叠
410,624,34482.09266991527,部分重叠
411,730,488627.25718090485,部分重叠
412,611,909778.2066342717,真实包含预测
415,710,650249.8288674573,部分重叠
417,455,137763.0172419208,部分重叠
417,524,537699.3036837984,预测包含真实
418,619,704379.6947070081,部分重叠
419,105,1327236.2029474797,部分重叠
421,596,366697.4247973142,部分重叠
421,595,205760.86877496899,部分重叠
422,690,541097.946309951,部分重叠
423,725,30869.136913007274,部分重叠
423,768,713790.4818873401,部分重叠
424,71,1091598.747363264,真实包含预测
425,433,899057.1815414871,部分重叠
426,126,1949.9872653090174,部分重叠
426,127,751961.7462566617,部分重叠
427,341,482335.93096867827,部分重叠
427,786,105504.66259045964,部分重叠
428,64,1441486.488691866,部分重叠
429,745,282621.2488985463,部分重叠
429,126,182617.68293928314,部分重叠
430,668,1664219.9658093571,部分重叠
432,822,416722.637110122,部分重叠
433,363,1295249.266313324,部分重叠
435,556,142960.43413968734,预测包含真实
438,451,768372.8365818636,部分重叠
439,616,577265.9268039954,部分重叠
439,274,137387.8333057946,部分重叠
440,582,2651440.308246845,部分重叠
442,107,1165008.8412766329,部分重叠
443,655,1994292.9761048397,部分重叠
444,840,611579.0630553989,部分重叠
447,339,334311.0934886973,部分重叠
448,244,1127941.9422339196,部分重叠
449,892,1325045.8589833395,部分重叠
451,8,288576.6756563353,部分重叠
452,15,597309.9979946268,部分重叠
454,807,1241806.3852852802,真实包含预测
455,609,868844.427151274,部分重叠
456,344,341227.65292201255,部分重叠
457,418,990577.0301776513,部分重叠
458,751,1334971.751203277,部分重叠
460,627,231759.51199828606,部分重叠
460,626,654017.5310152587,预测包含真实
461,713,1856656.1263435336,真实包含预测
462,157,469440.1207126592,部分重叠
466,266,860958.4193385359,部分重叠
469,576,980344.4103282614,真实包含预测
471,892,786306.4402527917,部分重叠
473,175,388687.55052663793,部分重叠
473,892,453515.5588678464,部分重叠
474,587,2227838.9659607564,真实包含预测
475,587,2100498.8282537106,真实包含预测
476,587,3152966.4875396956,真实包含预测
477,587,2462320.400168526,真实包含预测
478,312,932059.9701873144,部分重叠
479,587,1552199.1799058632,真实包含预测
480,686,1748125.3341387103,真实包含预测
482,587,2692737.1131553985,真实包含预测
483,664,2249821.412975373,真实包含预测
484,660,980360.9278925392,部分重叠
487,83,780046.0590759126,部分重叠
489,275,1407819.3609126215,部分重叠
490,444,493223.03710759437,部分重叠
491,439,769839.2667145169,部分重叠
491,438,113344.34588120095,部分重叠
493,563,111998.25122418834,部分重叠
493,457,650073.838363468,部分重叠
495,275,1835552.2214251468,真实包含预测
496,723,646231.1538289676,部分重叠
497,315,544278.2404053704,部分重叠
498,651,1499070.716092937,部分重叠
499,629,187427.11325515865,部分重叠
499,263,789632.7722354846,部分重叠
500,246,549472.3083342026,部分重叠
500,357,132275.537733819,部分重叠
501,831,38024.837361484795,部分重叠
501,830,861217.8709961307,部分重叠
502,330,426959.26616570057,部分重叠
503,210,1181939.4744342756,真实包含预测
504,309,1335113.9815099947,部分重叠
505,774,80254.38303323562,部分重叠
505,773,909028.7069526635,部分重叠
506,307,448243.01540950243,部分重叠
507,595,669508.0245907076,部分重叠
508,177,167953.10763510125,部分重叠
508,178,481515.39926720574,预测包含真实
509,44,3775.9946456017647,部分重叠
509,43,100422.53748635104,部分重叠
