port_id,lat,lon,berth_count,polygon
20,31.132973250000006,121.45873888333331,1,"POLYGON ((121.45754916666664 31.132413999999994, 121.45754916666664 31.1335325, 121.45992859999998 31.1335325, 121.45992859999998 31.132413999999994, 121.45754916666664 31.132413999999994))"
21,26.041514211904758,119.50254918103448,1,"POLYGON ((119.502072 26.04030961428571, 119.502072 26.042718809523812, 119.50302636206895 26.042718809523812, 119.50302636206895 26.04030961428571, 119.502072 26.04030961428571))"
22,31.498555156860743,121.37202758724361,3,"MULTIPOLYGON (((121.370263375 31.498358375, 121.37259999999996 31.498358375, 121.37259999999996 31.496945823529416, 121.370263375 31.496945823529416, 121.370263375 31.498358375)), ((121.37297869811319 31.499766519480513, 121.37297869811319 31.50149245454545, 121.37381081818182 31.50149245454545, 121.37381081818182 31.499771149999987, 121.37517976623377 31.499771149999987, 121.37297869811319 31.499766519480513)))"
23,38.98579963163155,117.73724760175661,4,"MULTIPOLYGON (((117.73702153977273 38.98586048863637, 117.73597070000001 38.98586048863637, 117.73597070000001 38.98626331372549, 117.73702153977273 38.98626331372549, 117.73702153977273 38.98586048863637)), ((117.73838953333332 38.985410599999994, 117.73926379310342 38.985410599999994, 117.73926379310342 38.98509847619047, 117.73838953333332 38.98509847619047, 117.73838953333332 38.985410599999994)), ((117.74141999999999 38.984261599999996, 117.74150666666664 38.984261599999996, 117.74150666666664 38.98413175, 117.74141999999999 38.98413175, 117.74141999999999 38.984261599999996)), ((117.7319738695652 38.98773884, 117.7319738695652 38.98765867391303, 117.73160759999999 38.98765867391303, 117.73160759999999 38.98773884, 117.7319738695652 38.98773884)))"
24,27.997301029411766,120.87548328214285,1,"POLYGON ((120.87246025000002 27.9971175, 120.87246025000002 27.997484558823526, 120.8785063142857 27.997484558823526, 120.8785063142857 27.9971175, 120.87246025000002 27.9971175))"
25,31.998656577777776,120.55586262222225,1,"POLYGON ((120.55422602222222 31.998370999999995, 120.55422602222222 31.998942155555557, 120.55749922222225 31.998942155555557, 120.55749922222225 31.998370999999995, 120.55422602222222 31.998370999999995))"
26,27.970301845810585,120.79345722855359,2,"MULTIPOLYGON (((120.790171 27.970674196969693, 120.79674361538463 27.970674196969693, 120.79674361538463 27.96992946153846, 120.790171 27.96992946153846, 120.790171 27.970674196969693)), ((120.78518334375 27.972029199999998, 120.7852235 27.972029199999998, 120.7852235 27.972028031249998, 120.78518334375 27.972028031249998, 120.78518334375 27.972029199999998)))"
27,31.312757969318174,121.55490088888888,1,"POLYGON ((121.55477577777778 31.312244363636353, 121.55477577777778 31.313271574999995, 121.555026 31.313271574999995, 121.555026 31.312244363636353, 121.55477577777778 31.312244363636353))"
28,39.505986220861914,121.27218414215608,2,"POLYGON ((121.27201862500002 39.50377208333333, 121.27201862500002 39.50979033333333, 121.27233904761906 39.50979033333333, 121.27231656097561 39.50066580487805, 121.27201862500002 39.50377208333333))"
29,31.92506107827754,120.16481182364605,20,"MULTIPOLYGON (((120.1914013448276 31.91679572222222, 120.1914013448276 31.917701172413796, 120.19157158333336 31.917701172413796, 120.19157158333336 31.91679572222222, 120.1914013448276 31.91679572222222)), ((120.19234046341462 31.919013260869555, 120.19234046341462 31.91914510000001, 120.1924358 31.91914510000001, 120.1924358 31.919013260869555, 120.19234046341462 31.919013260869555)), ((120.17661266666667 31.924273392857135, 120.18988014999998 31.924147607142842, 120.18988014999998 31.923837199999994, 120.18047106153846 31.923759000000004, 120.18047106153846 31.924110111111112, 120.17661266666667 31.924273392857135)), ((120.19088028571431 31.92296878571428, 120.19381314444442 31.92296878571428, 120.19381314444442 31.92269171929824, 120.19088655000002 31.92269171929824, 120.19088028571431 31.92219242857143, 120.19088028571431 31.92296878571428)), ((120.18421907142859 31.918049750000005, 120.18421907142859 31.91973964285713, 120.1846193125 31.91973964285713, 120.1846193125 31.918049750000005, 120.18421907142859 31.918049750000005)), ((120.16430623076926 31.92354207692308, 120.165991 31.923723781250004, 120.165991 31.92524970689655, 120.169045880597 31.92524970689655, 120.16907784615384 31.923256095238095, 120.16430623076926 31.92354207692308)), ((120.16917325000001 31.921974039473685, 120.16976985393258 31.921974039473685, 120.16976985393258 31.919872019999993, 120.16917325000001 31.919872019999993, 120.16917325000001 31.921974039473685)), ((120.15802029166667 31.92195714705882, 120.15802029166667 31.92292766666666, 120.15862666666665 31.92292766666666, 120.15844575 31.92001784615384, 120.15802029166667 31.92195714705882)), ((120.15278380952381 31.92659536956522, 120.15278380952381 31.926899900000002, 120.15561339130434 31.926899900000002, 120.15561339130434 31.92659536956522, 120.15278380952381 31.92659536956522)), ((120.15695275757575 31.92638681818181, 120.15831745238093 31.92638681818181, 120.15831745238093 31.92618430769231, 120.15695275757575 31.92618430769231, 120.15695275757575 31.92638681818181)), ((120.14494892 31.928038300000008, 120.14494892 31.928130720000002, 120.14550109677418 31.928130720000002, 120.14550109677418 31.928038300000008, 120.14494892 31.928038300000008)), ((120.14702593333334 31.92786133333334, 120.1480074807692 31.92786133333334, 120.1480074807692 31.92769870000001, 120.14702593333334 31.92769870000001, 120.14702593333334 31.92786133333334)), ((120.1364029090909 31.93018609090909, 120.13784590196079 31.93018609090909, 120.13784590196079 31.92988615555554, 120.1364029090909 31.92988615555554, 120.1364029090909 31.93018609090909)), ((120.12860300000001 31.93211423170732, 120.1321109054054 31.93211423170732, 120.1321109054054 31.931237439999993, 120.12860300000001 31.931237439999993, 120.12860300000001 31.93211423170732)))"
